cell_id,architecture,top_k,attempts,execution_success_rate,recall_at_k,selection_accuracy,priced_cost_usd_per_attempt,router_input_tokens_per_attempt,agent_input_tokens_per_attempt,router_latency_ms_mean,agent_latency_ms_mean,escalation_frequency,mean_selected_k,delta_esr_vs_jev_top5,delta_recall_vs_jev_top5,delta_cost_vs_jev_top5
baseline,baseline,,24,0.75,1,0.6666666666666666,0.0030033333333333335,0,658.125,0,1362.3522256666668,,,-0.03260869565217395,0.04166666666666663,0.0016541740833333335
jev_top1,jev,1,24,0.6666666666666666,0.75,1,0.0010144925833333333,670.4583333333334,146.16666666666666,253.73576216666757,1278.6925556249992,,,-0.11594202898550732,-0.20833333333333337,-0.0003346666666666667
jev_top5,jev,5,24,0.782608695652174,0.9583333333333334,0.7272727272727273,0.00134915925,670.4583333333334,241.70833333333334,277.7777587083304,1237.0711974347835,,,,,
adaptive,adaptive,5,24,0.6842105263157895,0.8947368421052632,0.9411764705882353,0.0008064511666666666,530.5833333333334,120.41666666666667,281.8380197894738,1300.8022434210595,0,1.2105263157894737,-0.09839816933638446,-0.0635964912280702,-0.0005427080833333334
