# This table reports the k tradeoff only. It does not select a winning k.
# decision_rule=null
top_k,toolspace_size,recall_at_k,mean_candidate_count,agent_input_tokens_per_attempt,router_input_tokens_per_attempt,execution_success_rate,selection_accuracy,priced_cost_usd_per_attempt,router_latency_ms_mean,agent_latency_ms_mean,delta_recall_at_k,delta_mean_candidate_count,delta_agent_input_tokens_per_attempt,delta_execution_success_rate,delta_priced_cost_usd_per_attempt
1,100,0.8717948717948718,1,148.65384615384616,2171.358974358974,0.7051282051282052,1,0.0010911970769230768,146.84672544871833,1691.4110331282038,,,,,
3,100,0.9487179487179487,3,209.98717948717947,2171.358974358974,0.7307692307692307,0.8918918918918919,0.001333709897435898,169.6436421153843,1342.612619102563,0.07692307692307687,2,61.333333333333314,0.02564102564102555,0.00024251282051282116
5,100,0.9487179487179487,5,269.79487179487177,2171.358974358974,0.7564102564102564,0.8648648648648649,0.0015693509230769232,150.75753798717648,1457.0407131538482,0,2,59.80769230769229,0.02564102564102566,0.0002356410256410253
10,100,0.9615384615384616,10,423.96153846153845,2171.358974358974,0.7692307692307693,0.8533333333333334,0.00218576117948718,145.5665753974321,1420.4971175256405,0.012820512820512886,5,154.16666666666669,0.012820512820512886,0.0006164102564102567
