architecture,toolspace_size,top_k,source_directories,attempts,r0_attempts,infrastructure_failure_rate,routing_scored,recall_at_k,lenient_recall_at_k,selection_accuracy,execution_success_rate,mean_candidate_count,router_input_tokens,agent_input_tokens,total_tokens,priced_cost_usd,router_latency_ms_mean,agent_latency_ms_mean,total_latency_ms_mean
jev,100,1,2026-09-24T140621Z_jev_n100_k1_5f9e7c3f105d,78,0,0,78,0.8717948717948718,0.8974358974358975,1,0.7051282051282052,1,169366,11595,249952,0.08511337199999999,146.84672544871833,1691.4110331282038,1838.6207505384616
jev,100,3,2026-09-24T140621Z_jev_n100_k3_5f9e7c3f105d,78,0,0,78,0.9487179487179487,0.9615384615384616,0.8918918918918919,0.7307692307692307,3,169366,16379,254725,0.10402937200000004,169.6436421153843,1342.612619102563,1512.4420031923062
jev,100,5,2026-09-24T140621Z_jev_n100_k5_5f9e7c3f105d,78,0,0,78,0.9487179487179487,0.9743589743589743,0.8648648648648649,0.7564102564102564,5,169366,21044,259376,0.12240937200000002,150.75753798717648,1457.0407131538482,1607.9868397435885
jev,100,10,2026-09-24T140621Z_jev_n100_k10_5f9e7c3f105d,78,0,0,78,0.9615384615384616,0.9871794871794872,0.8533333333333334,0.7692307692307693,10,169366,33069,271400,0.17048937200000003,145.5665753974321,1420.4971175256405,1566.322661307695
